1223.1561311 [1715151025.1103, 35.0, 0.0, -172.202, -12.216, -6.917, 3.642, 21.268, 2.483, -196.284, -135.255, -87.178, 0.0, 0.0]
1223.1639436 [1715151025.118, 36.0, 0.0, -181.763, -9.13, -4.861, -15.317, 0.242, -6.228, -228.363, -155.612, -117.83, 0.0, 0.0]
1223.1717561 [1715151025.1258, 37.0, 0.0, -192.852, 0.1, -0.757, -24.011, -19.738, -6.222, -260.41, -169.288, -139.229, 0.0, 0.0]
1223.1795686 [1715151025.1335, 38.0, 0.0, -183.95, 6.248, 1.293, -8.618, -3.837, -1.605, -227.362, -154.262, -114.499, 0.0, 0.0]
1223.1873811 [1715151025.1414, 39.0, 0.0, -159.688, 13.414, 5.39, 19.568, 24.856, 4.032, -194.347, -124.394, -81.596, 0.0, 0.0]
1223.1951936 [1715151025.1493, 40.0, 0.0, -156.967, 7.253, 3.335, 20.06, 15.097, 10.176, -165.975, -117.097, -69.22, 0.0, 0.0]
1223.2030061 [1715151025.1572, 41.0, 0.0, -179.351, -12.734, -5.89, -10.698, -17.193, 9.653, -198.085, -136.96, -101.426, 0.0, 0.0]
1223.2108186 [1715151025.165, 42.0, 0.0, -194.541, -19.894, -11.519, -22.471, -20.762, 5.545, -230.162, -153.73, -128.989, 0.0, 0.0]
1223.2186311 [1715151025.1729, 43.0, 0.0, -184.613, -6.554, -7.409, -4.005, -0.249, 0.929, -205.341, -149.99, -117.589, 0.0, 0.0]
1223.2264436 [1715151025.1807, 44.0, 0.0, -155.226, 7.797, 4.381, 5.733, 5.899, -1.122, -172.348, -129.347, -84.684, 0.0, 0.0]
1223.2342561 [1715151025.1886, 45.0, 0.0, -128.944, 12.912, 10.525, 0.092, -5.89, 7.076, -139.388, -102.066, -51.811, 0.0, 0.0]
1223.2420686 [1715151025.1964, 46.0, 0.0, -139.573, 4.703, -0.244, -1.445, -5.372, 13.217, -162.302, -102.476, -63.543, 0.0, 0.0]
1223.2498811 [1715151025.2044, 47.0, 0.0, -171.709, -13.233, -14.076, -5.542, 4.367, 0.396, -194.416, -134.649, -95.755, 0.0, 0.0]
1223.2576936 [1715151025.2122, 48.0, 0.0, -185.882, -17.318, -14.575, -14.758, -3.322, -10.363, -226.497, -156.031, -110.516, 0.0, 0.0]
1223.2655061 [1715151025.2201, 49.0, 0.0, -160.08, 1.142, -1.24, -12.694, -15.101, -3.692, -193.482, -136.407, -82.741, 0.0, 0.0]
1223.2733186 [1715151025.2279, 50.0, 0.0, -146.088, 17.023, 13.106, -1.411, -4.328, -3.176, -161.013, -125.513, -71.387, 0.0, 0.0]
1223.2811311 [1715151025.2356, 51.0, 0.0, -160.799, 14.444, 11.556, 8.837, 18.218, -9.321, -180.832, -135.633, -80.537, 0.0, 0.0]
1223.2889436 [1715151025.2434, 52.0, 0.0, -166.786, 1.11, -1.776, 14.976, 29.47, -2.651, -178.602, -130.887, -80.969, 0.0, 0.0]
1223.2967561 [1715151025.2511, 53.0, 0.0, -159.447, -10.162, -7.409, -0.409, 14.584, 2.474, -173.301, -125.121, -82.937, 0.0, 0.0]
